ID,nombre,descripcion
1,Stench,Has a 10% chance of making target Pokémon flinch with each hit 
2,Drizzle,Summons rain that lasts indefinitely upon entering battle 
3,Speed-boost,Raises Speed one stage after each turn 
4,Battle-armor,Protects against critical hits 
5,Sturdy,Prevents being KOed from full HP  leaving 1 HP instead   Protects against the one-hit KO moves regardless of HP 
6,Damp,Prevents self destruct  explosion  and aftermath from working while the Pokémon is in battle 
7,Limber,Prevents paralysis 
8,Sand-veil,Increases evasion to 1 25× during a sandstorm   Protects against sandstorm damage 
9,Static,Has a 30% chance of paralyzing attacking Pokémon on contact 
10,Volt-absorb,Absorbs electric moves  healing for 1/4 max HP 
11,Water-absorb,Absorbs water moves  healing for 1/4 max HP 
12,Oblivious,Prevents infatuation and protects against captivate 
13,Cloud-nine,Negates all effects of weather  but does not prevent the weather itself 
14,Compound-eyes,Increases moves' accuracy to 1 3× 
15,Insomnia,Prevents sleep 
16,Color-change,Changes type to match when hit by a damaging move 
17,Immunity,Prevents poison 
18,Flash-fire,Protects against fire moves   Once one has been blocked  the Pokémon's own Fire moves inflict 1 5× damage until it leaves battle 
19,Shield-dust,Protects against incoming moves' extra effects 
20,Own-tempo,Prevents confusion 
21,Suction-cups,Prevents being forced out of battle by other Pokémon's moves 
22,Intimidate,Lowers opponents' Attack one stage upon entering battle 
23,Shadow-tag,Prevents opponents from fleeing or switching out 
24,Rough-skin,Damages attacking Pokémon for 1/8 their max HP on contact 
25,Wonder-guard,Protects against damaging moves that are not super effective 
26,Levitate,Evades ground moves 
27,Effect-spore,Has a 30% chance of inflcting either paralysis  poison  or sleep on attacking Pokémon on contact 
28,Synchronize,Copies burns  paralysis  and poison received onto the Pokémon that inflicted them 
29,Clear-body,Prevents stats from being lowered by other Pokémon 
30,Natural-cure,Cures any major status ailment upon switching out 
31,Lightning-rod,Redirects single-target electric moves to this Pokémon where possible   Absorbs Electric moves  raising Special Attack one stage 
32,Serene-grace,Doubles the chance of moves' extra effects occurring 
33,Swift-swim,Doubles Speed during rain 
34,Chlorophyll,Doubles Speed during strong sunlight 
35,Illuminate,Doubles the wild encounter rate 
36,Trace,Copies an opponent's ability upon entering battle 
37,Huge-power,Doubles Attack in battle 
38,Poison-point,Has a 30% chance of poisoning attacking Pokémon on contact 
39,Inner-focus,Prevents flinching 
40,Magma-armor,Prevents freezing 
41,Water-veil,Prevents burns 
42,Magnet-pull,Prevents steel opponents from fleeing or switching out 
43,Soundproof,Protects against sound-based moves 
44,Rain-dish,Heals for 1/16 max HP after each turn during rain 
45,Sand-stream,Summons a sandstorm that lasts indefinitely upon entering battle 
46,Pressure,Increases the PP cost of moves targetting the Pokémon by one 
47,Thick-fat,Halves damage from fire and ice moves 
48,Early-bird,Makes sleep pass twice as quickly 
49,Flame-body,Has a 30% chance of burning attacking Pokémon on contact 
50,Run-away,Ensures success fleeing from wild battles 
51,Keen-eye,Prevents accuracy from being lowered 
52,Hyper-cutter,Prevents Attack from being lowered by other Pokémon 
